head,relation,tail
CAD:Perfect,HAS,1stCHORD
CAD:Perfect,HAS,2ndCHORD
1stCHORD,HAS:ROOT_PC,C1_ROOT_PC:7
1stCHORD,HAS:TYPE_PC,C1_TYPE_PC:4
1stCHORD,HAS:TYPE_PC,C1_TYPE_PC:7
1stCHORD,HAS:TYPE_PC,C1_TYPE_PC:10
2ndCHORD,HAS:ROOT_PC,C2_ROOT_PC:0
2ndCHORD,HAS:TYPE_PC,C2_TYPE_PC:4
2ndCHORD,HAS:TYPE_PC,C2_TYPE_PC:7
