head,relation,tail
CAD:Phrygian,HAS,1stCHORD
CAD:Phrygian,HAS,2ndCHORD
1stCHORD,HAS:ROOT_PC,C1_ROOT_PC:10
1stCHORD,HAS:TYPE_PC,C1_TYPE_PC:0
1stCHORD,HAS:TYPE_PC,C1_TYPE_PC:3
2ndCHORD,HAS:ROOT_PC,C2_ROOT_PC:0
2ndCHORD,HAS:TYPE_PC,C2_TYPE_PC:3
2ndCHORD,HAS:TYPE_PC,C2_TYPE_PC:7
